file,winner,F1,F2,F3,edit
S01_selected_tokens_0001,18,18,18,18,0
S01_selected_tokens_0002,9,9,9,9,1
S01_selected_tokens_0003,9,9,9,9,0
S01_selected_tokens_0004,18,18,18,18,1
S01_selected_tokens_0005,11,11,11,11,0
S01_selected_tokens_0006,13,13,13,13,0
S01_selected_tokens_0007,20,20,20,20,1
S01_selected_tokens_0008,20,20,20,20,0
S01_selected_tokens_0009,17,17,17,17,0
S01_selected_tokens_0010,12,12,12,12,0
S01_selected_tokens_0011,13,13,13,13,0
S01_selected_tokens_0012,19,19,19,19,0
S01_selected_tokens_0013,19,19,19,19,0
S01_selected_tokens_0014,12,12,12,12,1
S01_selected_tokens_0015,12,12,12,12,0
S01_selected_tokens_0016,19,19,19,19,0
S01_selected_tokens_0017,19,19,19,19,0
S01_selected_tokens_0018,11,11,11,11,0
S01_selected_tokens_0019,18,18,18,18,0
S01_selected_tokens_0020,19,19,19,19,0
S01_selected_tokens_0021,9,9,9,9,0
S01_selected_tokens_0022,18,18,18,18,0
S01_selected_tokens_0023,9,9,9,9,0
S01_selected_tokens_0024,11,11,11,11,0
S01_selected_tokens_0025,17,17,17,17,0
S01_selected_tokens_0026,16,16,16,16,0
S01_selected_tokens_0027,15,15,15,15,0
S01_selected_tokens_0028,20,20,20,20,0
S01_selected_tokens_0029,10,10,10,10,0
S01_selected_tokens_0030,14,14,14,14,0
S01_selected_tokens_0031,19,19,19,19,0
S01_selected_tokens_0032,19,19,19,19,0
S01_selected_tokens_0033,11,11,11,11,0
S01_selected_tokens_0034,20,20,20,20,0
S01_selected_tokens_0035,19,19,19,19,0
S01_selected_tokens_0036,15,15,15,15,0
S01_selected_tokens_0037,13,13,13,13,0
S01_selected_tokens_0038,16,16,16,16,0
S01_selected_tokens_0039,15,15,15,15,0
S01_selected_tokens_0040,16,16,16,16,0
S01_selected_tokens_0041,10,10,10,10,0
S01_selected_tokens_0042,18,18,18,18,0
S01_selected_tokens_0043,13,13,13,13,0
S01_selected_tokens_0044,17,17,17,17,0
S01_selected_tokens_0045,7,7,7,7,0
S01_selected_tokens_0046,19,19,19,19,0
S01_selected_tokens_0047,10,10,10,10,0
S01_selected_tokens_0048,11,11,11,11,0
S01_selected_tokens_0049,15,15,15,15,0
S01_selected_tokens_0050,14,14,14,14,0
S01_selected_tokens_0051,15,15,15,15,0
S01_selected_tokens_0052,10,10,10,10,0
S01_selected_tokens_0053,19,19,19,19,0
S01_selected_tokens_0054,20,20,20,20,0
S01_selected_tokens_0055,10,10,10,10,0
S01_selected_tokens_0056,18,18,18,18,0
S01_selected_tokens_0057,11,11,11,11,0
S01_selected_tokens_0058,12,12,12,12,0
S01_selected_tokens_0059,10,10,10,10,0
S01_selected_tokens_0060,20,20,20,20,0
S01_selected_tokens_0061,8,8,8,8,0
S01_selected_tokens_0062,5,5,5,5,0
S01_selected_tokens_0063,8,8,8,8,0
S01_selected_tokens_0064,5,5,5,5,0
S01_selected_tokens_0065,13,13,13,13,0
S01_selected_tokens_0066,8,8,8,8,0
S01_selected_tokens_0067,12,12,12,12,0
S01_selected_tokens_0068,16,16,16,16,0
S01_selected_tokens_0069,18,18,18,18,0
S01_selected_tokens_0070,4,4,4,4,0
S01_selected_tokens_0071,16,16,16,16,0
S01_selected_tokens_0072,11,11,11,11,0
S01_selected_tokens_0073,16,16,16,16,0
S01_selected_tokens_0074,13,13,13,13,0
S01_selected_tokens_0075,12,12,12,12,0
S01_selected_tokens_0076,8,8,8,8,0
S01_selected_tokens_0077,14,14,14,14,0
S01_selected_tokens_0078,5,5,5,5,0
S01_selected_tokens_0079,8,8,8,8,0
S01_selected_tokens_0080,15,15,15,15,0
S01_selected_tokens_0081,1,1,1,1,0
S01_selected_tokens_0082,19,19,19,19,0
S01_selected_tokens_0083,20,20,20,20,0
S01_selected_tokens_0084,15,15,15,15,0
S01_selected_tokens_0085,12,12,12,12,0
S01_selected_tokens_0086,6,6,6,6,0
S01_selected_tokens_0087,13,13,13,13,0
S01_selected_tokens_0088,15,15,15,15,0
S01_selected_tokens_0089,3,3,3,3,0
S01_selected_tokens_0090,15,15,15,15,0
S01_selected_tokens_0091,20,20,20,20,0
S01_selected_tokens_0092,19,19,19,19,0
S01_selected_tokens_0093,6,6,6,6,0
S01_selected_tokens_0094,13,13,13,13,0
S01_selected_tokens_0095,19,19,19,19,0
S01_selected_tokens_0096,20,20,20,20,0
S01_selected_tokens_0097,11,11,11,11,0
S01_selected_tokens_0098,20,20,20,20,0
S01_selected_tokens_0099,13,13,13,13,0
S01_selected_tokens_0100,20,20,20,20,0
S01_selected_tokens_0101,14,14,14,14,0
S01_selected_tokens_0102,15,15,15,15,0
S01_selected_tokens_0103,13,13,13,13,0
S01_selected_tokens_0104,10,10,10,10,0
S01_selected_tokens_0105,12,12,12,12,0
S01_selected_tokens_0106,12,12,12,12,0
S01_selected_tokens_0107,20,20,20,20,0
S01_selected_tokens_0108,1,1,1,1,0
S01_selected_tokens_0109,16,16,16,16,0
S01_selected_tokens_0110,17,17,17,17,0
S01_selected_tokens_0111,20,20,20,20,0
S01_selected_tokens_0112,17,17,17,17,0
S01_selected_tokens_0113,16,16,16,16,0
S01_selected_tokens_0114,4,4,4,4,0
S01_selected_tokens_0115,1,1,1,1,0
S01_selected_tokens_0116,14,14,14,14,0
S01_selected_tokens_0117,15,15,15,15,0
S01_selected_tokens_0118,16,16,16,16,0
S01_selected_tokens_0119,19,19,19,19,0
S01_selected_tokens_0120,13,13,13,13,0
