number,file,label,group,color
1,S10_selected_tokens_0001.wav,EH,8,Black
2,S10_selected_tokens_0002.wav,EH,8,Black
3,S10_selected_tokens_0003.wav,EH,8,Black
4,S10_selected_tokens_0004.wav,EH,8,Black
5,S10_selected_tokens_0005.wav,EH,8,Black
6,S10_selected_tokens_0006.wav,EH,8,Black
7,S10_selected_tokens_0007.wav,EH,8,Black
8,S10_selected_tokens_0008.wav,EH,8,Black
9,S10_selected_tokens_0009.wav,EH,8,Black
10,S10_selected_tokens_0010.wav,EH,8,Black
11,S10_selected_tokens_0011.wav,EH,8,Black
12,S10_selected_tokens_0012.wav,EH,8,Black
13,S10_selected_tokens_0013.wav,EH,8,Black
14,S10_selected_tokens_0014.wav,EH,8,Black
15,S10_selected_tokens_0015.wav,EH,8,Black
16,S10_selected_tokens_0016.wav,EH,8,Black
17,S10_selected_tokens_0017.wav,EH,8,Black
18,S10_selected_tokens_0018.wav,EH,8,Black
19,S10_selected_tokens_0019.wav,IY,13,Pink
20,S10_selected_tokens_0020.wav,IY,13,Pink
21,S10_selected_tokens_0021.wav,IY,13,Pink
22,S10_selected_tokens_0022.wav,IY,13,Pink
23,S10_selected_tokens_0023.wav,IY,13,Pink
24,S10_selected_tokens_0024.wav,IY,13,Pink
25,S10_selected_tokens_0025.wav,IY,13,Pink
26,S10_selected_tokens_0026.wav,IY,13,Pink
27,S10_selected_tokens_0027.wav,IY,13,Pink
28,S10_selected_tokens_0028.wav,IY,13,Pink
29,S10_selected_tokens_0029.wav,IY,13,Pink
30,S10_selected_tokens_0030.wav,IY,13,Pink
31,S10_selected_tokens_0031.wav,IY,13,Pink
32,S10_selected_tokens_0032.wav,IY,13,Pink
33,S10_selected_tokens_0033.wav,IY,13,Pink
34,S10_selected_tokens_0034.wav,IY,13,Pink
35,S10_selected_tokens_0035.wav,IY,13,Pink
36,S10_selected_tokens_0036.wav,IY,13,Pink
37,S10_selected_tokens_0037.wav,IY,13,Pink
38,S10_selected_tokens_0038.wav,IY,13,Pink
39,S10_selected_tokens_0039.wav,OW,14,Maroon
40,S10_selected_tokens_0040.wav,OW,14,Maroon
41,S10_selected_tokens_0041.wav,OW,14,Maroon
42,S10_selected_tokens_0042.wav,OW,14,Maroon
43,S10_selected_tokens_0043.wav,OW,14,Maroon
44,S10_selected_tokens_0044.wav,OW,14,Maroon
45,S10_selected_tokens_0045.wav,OW,14,Maroon
46,S10_selected_tokens_0046.wav,OW,14,Maroon
47,S10_selected_tokens_0047.wav,OW,14,Maroon
48,S10_selected_tokens_0048.wav,OW,14,Maroon
49,S10_selected_tokens_0049.wav,OW,14,Maroon
50,S10_selected_tokens_0050.wav,OW,14,Maroon
51,S10_selected_tokens_0051.wav,OW,14,Maroon
52,S10_selected_tokens_0052.wav,OW,14,Maroon
53,S10_selected_tokens_0053.wav,OW,14,Maroon
54,S10_selected_tokens_0054.wav,OW,14,Maroon
55,S10_selected_tokens_0055.wav,OW,14,Maroon
56,S10_selected_tokens_0056.wav,OW,14,Maroon
57,S10_selected_tokens_0057.wav,OW,14,Maroon
58,S10_selected_tokens_0058.wav,OW,14,Maroon
59,S10_selected_tokens_0059.wav,UW,17,Cyan
60,S10_selected_tokens_0060.wav,UW,17,Cyan
61,S10_selected_tokens_0061.wav,UW,17,Cyan
62,S10_selected_tokens_0062.wav,UW,17,Cyan
63,S10_selected_tokens_0063.wav,UW,17,Cyan
64,S10_selected_tokens_0064.wav,UW,17,Cyan
65,S10_selected_tokens_0065.wav,UW,17,Cyan
66,S10_selected_tokens_0066.wav,UW,17,Cyan
67,S10_selected_tokens_0067.wav,UW,17,Cyan
68,S10_selected_tokens_0068.wav,UW,17,Cyan
69,S10_selected_tokens_0069.wav,UW,17,Cyan
70,S10_selected_tokens_0070.wav,UW,17,Cyan
71,S10_selected_tokens_0071.wav,UW,17,Cyan
72,S10_selected_tokens_0072.wav,UW,17,Cyan
73,S10_selected_tokens_0073.wav,UW,17,Cyan
74,S10_selected_tokens_0074.wav,UW,17,Cyan
75,S10_selected_tokens_0075.wav,UW,17,Cyan
76,S10_selected_tokens_0076.wav,UW,17,Cyan
77,S10_selected_tokens_0077.wav,UW,17,Cyan
78,S10_selected_tokens_0078.wav,UW,17,Cyan
79,S10_selected_tokens_0079.wav,AE,2,Blue
80,S10_selected_tokens_0080.wav,AE,2,Blue
81,S10_selected_tokens_0081.wav,AE,2,Blue
82,S10_selected_tokens_0082.wav,AE,2,Blue
83,S10_selected_tokens_0083.wav,AE,2,Blue
84,S10_selected_tokens_0084.wav,AE,2,Blue
85,S10_selected_tokens_0085.wav,AE,2,Blue
86,S10_selected_tokens_0086.wav,AE,2,Blue
87,S10_selected_tokens_0087.wav,AE,2,Blue
88,S10_selected_tokens_0088.wav,AE,2,Blue
89,S10_selected_tokens_0089.wav,AE,2,Blue
90,S10_selected_tokens_0090.wav,AE,2,Blue
91,S10_selected_tokens_0091.wav,AE,2,Blue
92,S10_selected_tokens_0092.wav,AE,2,Blue
93,S10_selected_tokens_0093.wav,AE,2,Blue
94,S10_selected_tokens_0094.wav,AE,2,Blue
95,S10_selected_tokens_0095.wav,AE,2,Blue
96,S10_selected_tokens_0096.wav,AE,2,Blue
97,S10_selected_tokens_0097.wav,AE,2,Blue
98,S10_selected_tokens_0098.wav,AE,2,Blue
99,S10_selected_tokens_0099.wav,AE,2,Blue
100,S10_selected_tokens_0100.wav,AE,2,Blue
101,S10_selected_tokens_0101.wav,AE,2,Blue
102,S10_selected_tokens_0102.wav,AE,2,Blue
103,S10_selected_tokens_0103.wav,AE,2,Blue
104,S10_selected_tokens_0104.wav,AE,2,Blue
105,S10_selected_tokens_0105.wav,AE,2,Blue
106,S10_selected_tokens_0106.wav,AE,2,Blue
107,S10_selected_tokens_0107.wav,AE,2,Blue
108,S10_selected_tokens_0108.wav,AE,2,Blue
109,S10_selected_tokens_0109.wav,AE,2,Blue
110,S10_selected_tokens_0110.wav,AE,2,Blue
111,S10_selected_tokens_0111.wav,AE,2,Blue
112,S10_selected_tokens_0112.wav,AE,2,Blue
113,S10_selected_tokens_0113.wav,AE,2,Blue
114,S10_selected_tokens_0114.wav,AE,2,Blue
115,S10_selected_tokens_0115.wav,AE,2,Blue
116,S10_selected_tokens_0116.wav,AE,2,Blue
